indice,formulario,entidade,ano,periodo,situacao,secao,campo,valor
1,Formulário de Visita de Inspeção Semestral | Estabelecimentos Prisionais - 2º Sem./2024 a atualmente.,Penitenciária_de Taiúva / Taiúva-SP,,1º Sem. (Julho) / 2026,,SEÇÃO I – IDENTIFICAÇÃO,1.1 Data da Visita,22/04/2026
1,Formulário de Visita de Inspeção Semestral | Estabelecimentos Prisionais - 2º Sem./2024 a atualmente.,Penitenciária_de Taiúva / Taiúva-SP,,1º Sem. (Julho) / 2026,,SEÇÃO I – IDENTIFICAÇÃO,1.2 Forma de inspeção,PRESENCIAL
1,Formulário de Visita de Inspeção Semestral | Estabelecimentos Prisionais - 2º Sem./2024 a atualmente.,Penitenciária_de Taiúva / Taiúva-SP,,1º Sem. (Julho) / 2026,,SEÇÃO I – IDENTIFICAÇÃO,1.3 Estabelecimento prisional destinado a presos do sexo,MASCULINO
1,Formulário de Visita de Inspeção Semestral | Estabelecimentos Prisionais - 2º Sem./2024 a atualmente.,Penitenciária_de Taiúva / Taiúva-SP,,1º Sem. (Julho) / 2026,,SEÇÃO I – IDENTIFICAÇÃO,1.3.1 O estabelecimento prisional possui ala/pavilhão para *PPL autodeclaradas LGBTI+?,Sim
1,Formulário de Visita de Inspeção Semestral | Estabelecimentos Prisionais - 2º Sem./2024 a atualmente.,Penitenciária_de Taiúva / Taiúva-SP,,1º Sem. (Julho) / 2026,,SEÇÃO I – IDENTIFICAÇÃO,1.4 Órgão do Ministério Público responsável pela inspeção do estabelecimento prisional:,Promotoria de Justiça de Jaboticabal
1,Formulário de Visita de Inspeção Semestral | Estabelecimentos Prisionais - 2º Sem./2024 a atualmente.,Penitenciária_de Taiúva / Taiúva-SP,,1º Sem. (Julho) / 2026,,SEÇÃO I – IDENTIFICAÇÃO,1.5 Juízo responsável pelo estabelecimento prisional:,Vara do Júri e Execuções Criminais de Araraquara/SP
1,Formulário de Visita de Inspeção Semestral | Estabelecimentos Prisionais - 2º Sem./2024 a atualmente.,Penitenciária_de Taiúva / Taiúva-SP,,1º Sem. (Julho) / 2026,,SEÇÃO I – IDENTIFICAÇÃO,1.6 Responsável pelo estabelecimento prisional:,Douglas Fernando Semenzin Galdino
1,Formulário de Visita de Inspeção Semestral | Estabelecimentos Prisionais - 2º Sem./2024 a atualmente.,Penitenciária_de Taiúva / Taiúva-SP,,1º Sem. (Julho) / 2026,,SEÇÃO I – IDENTIFICAÇÃO,1.6.1 Data de início do funcionamento do estabelecimento prisional:,18/01/2012
1,Formulário de Visita de Inspeção Semestral | Estabelecimentos Prisionais - 2º Sem./2024 a atualmente.,Penitenciária_de Taiúva / Taiúva-SP,,1º Sem. (Julho) / 2026,,SEÇÃO I – IDENTIFICAÇÃO,1.6.2 Data do início da gestão do responsável pelo estabelecimento prisional:,09/11/2017
1,Formulário de Visita de Inspeção Semestral | Estabelecimentos Prisionais - 2º Sem./2024 a atualmente.,Penitenciária_de Taiúva / Taiúva-SP,,1º Sem. (Julho) / 2026,,SEÇÃO I – IDENTIFICAÇÃO,1.7 Responsável pela segurança do estabelecimento prisional,Alfredo Guilherme Lopes
